Month,WeekOfMonth,Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,NumberOfSuppliments,NumberOfCars,BasePolicy,FraudFound
Oct,4,VW,Urban,Oct,4,Male,Divorced,42,Policy Holder,Sedan - Collision,Sedan,"40,000 to 59,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,1 to 2,1 vehicle,Collision,No
Oct,3,Toyota,Urban,Oct,3,Male,Married,42,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,1 to 2,1 vehicle,Liability,No
Dec,2,Chevrolet,Urban,Dec,2,Male,Single,42,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,more than 5,3 to 4,Collision,No
Mar,3,Honda,Urban,Mar,4,Male,Married,42,Third Party,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,Collision,No
Nov,4,Mazda,Urban,Nov,5,Male,Single,42,Third Party,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,3 to 5,1 vehicle,Liability,No
Aug,1,Pontiac,Urban,Aug,1,Male,Married,42,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
May,2,Accura,Urban,May,2,Male,Married,42,Third Party,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Sep,2,Chevrolet,Rural,Sep,3,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,1 to 2,1 vehicle,Collision,No
Oct,2,Pontiac,Urban,Oct,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,1 to 2,1 vehicle,All Perils,No
Nov,2,Mazda,Urban,Nov,2,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,more than 7,36 to 40,No,none,2 vehicles,Liability,No
Dec,2,Mazda,Urban,Dec,2,Female,Divorced,43,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,more than 5,1 vehicle,All Perils,No
Mar,5,Honda,Urban,Apr,1,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
May,5,Mazda,Urban,Jun,1,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,Yes,none,1 vehicle,All Perils,No
Dec,5,Toyota,Urban,Jan,1,Female,Married,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Feb,4,Honda,Urban,Mar,1,Male,Married,43,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,36 to 40,No,more than 5,1 vehicle,Collision,No
Mar,1,Saab,Urban,Mar,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,1 to 2,1 vehicle,Collision,No
Nov,3,Honda,Urban,Dec,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Liability,No
Nov,3,Pontiac,Urban,Nov,3,Female,Single,43,Policy Holder,Sedan - Liability,Sport,"less than 20,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Apr,1,Honda,Urban,Apr,3,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Aug,3,Toyota,Urban,Sep,1,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Collision,No
Feb,2,Toyota,Urban,Feb,3,Male,Married,43,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Jan,1,Mazda,Urban,Jan,1,Female,Married,43,Third Party,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Collision,No
Sep,3,Mazda,Urban,Sep,3,Male,Married,43,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Sep,2,Pontiac,Urban,Sep,3,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Jan,5,Honda,Urban,Feb,1,Male,Married,44,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Jul,4,Pontiac,Urban,Jul,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"less than 20,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
May,1,Toyota,Rural,May,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,36 to 40,No,none,1 vehicle,Collision,Yes
May,2,Toyota,Urban,May,3,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,1 vehicle,Collision,Yes
Mar,2,Pontiac,Rural,Mar,2,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,more than 7,36 to 40,No,3 to 5,1 vehicle,Liability,No
Apr,4,Ford,Urban,Apr,4,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Aug,1,Toyota,Urban,Sep,1,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Jan,5,Honda,Urban,Jan,5,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
May,4,Toyota,Urban,May,5,Male,Married,44,Third Party,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Apr,2,Mazda,Rural,Apr,3,Male,Married,45,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
Jul,2,Chevrolet,Urban,Jul,2,Male,Married,45,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,1 to 2,1 vehicle,All Perils,No
Jun,4,Pontiac,Urban,Jun,4,Male,Single,45,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,1 vehicle,Collision,No
Oct,2,Toyota,Urban,Mar,3,Male,Married,45,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Oct,4,Mazda,Urban,Oct,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Aug,2,Chevrolet,Urban,Oct,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,more than 5,1 vehicle,Liability,No
May,1,Mazda,Urban,May,1,Male,Married,45,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Sep,2,Accura,Rural,Sep,3,Male,Married,45,Policy Holder,Utility - All Perils,Utility,"more than 69,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Mar,4,Mazda,Urban,Mar,5,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,36 to 40,No,3 to 5,1 vehicle,Collision,No
Dec,5,Toyota,Urban,Jan,2,Female,Married,46,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,41 to 50,No,more than 5,2 vehicles,Collision,No
Jan,3,Ford,Urban,Jan,3,Male,Married,46,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,41 to 50,No,1 to 2,1 vehicle,Collision,No
Nov,2,Chevrolet,Urban,Nov,3,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,none,1 vehicle,Collision,Yes
Aug,3,Honda,Urban,Aug,4,Male,Married,46,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,more than 7,41 to 50,No,none,1 vehicle,Liability,No
Oct,4,Chevrolet,Urban,Oct,4,Male,Married,46,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,7 years,41 to 50,No,none,1 vehicle,Liability,No
Jul,3,Pontiac,Urban,Jul,4,Male,Single,47,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,more than 7,41 to 50,No,1 to 2,2 vehicles,Liability,No
Jan,1,Pontiac,Urban,Jan,3,Male,Married,47,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,41 to 50,No,none,1 vehicle,All Perils,No
Jan,5,Pontiac,Urban,Jan,5,Female,Single,47,Policy Holder,Sedan - Liability,Sport,"less than 20,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,none,1 vehicle,Liability,No
Jul,2,Chevrolet,Urban,Jul,3,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,1,more than 7,41 to 50,No,none,1 vehicle,All Perils,No
Apr,5,Accura,Rural,May,1,Male,Married,47,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,41 to 50,No,none,1 vehicle,Collision,No
Jun,5,Pontiac,Urban,Jul,1,Male,Single,47,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,none,1 vehicle,All Perils,No
Dec,3,Honda,Rural,Dec,3,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,1 to 2,1 vehicle,All Perils,No
Dec,3,VW,Urban,Dec,5,Male,Married,47,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,41 to 50,No,more than 5,1 vehicle,Collision,No
Feb,1,Toyota,Urban,Feb,1,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,2 to 4,7 years,41 to 50,No,none,3 to 4,Collision,No
Nov,1,Nisson,Urban,Nov,2,Male,Married,47,Third Party,Utility - Collision,Utility,"more than 69,000",more than 30,more than 30,more than 4,more than 7,41 to 50,No,more than 5,1 vehicle,Collision,No
Oct,1,Chevrolet,Urban,Oct,1,Female,Married,47,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",more than 30,more than 30,2 to 4,7 years,41 to 50,No,more than 5,1 vehicle,Liability,No
Sep,3,Ford,Urban,Sep,3,Male,Married,47,Third Party,Utility - All Perils,Utility,"more than 69,000",more than 30,more than 30,1,more than 7,41 to 50,No,more than 5,1 vehicle,All Perils,No
Apr,5,Pontiac,Urban,May,4,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,none,1 vehicle,All Perils,No
Aug,2,Saab,Urban,Aug,4,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,more than 4,more than 7,41 to 50,No,3 to 5,1 vehicle,Collision,No
Nov,1,Mazda,Urban,Nov,2,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,41 to 50,No,more than 5,1 vehicle,Collision,No
Jan,1,Pontiac,Rural,May,3,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,41 to 50,No,none,1 vehicle,Collision,No
May,3,Ford,Urban,May,3,Female,Married,48,Third Party,Sedan - All Perils,Sedan,"40,000 to 59,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,more than 5,1 vehicle,All Perils,No
Feb,3,Pontiac,Urban,Feb,4,Male,Married,48,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,41 to 50,No,3 to 5,1 vehicle,Collision,No
Feb,4,Mazda,Urban,Feb,5,Male,Married,48,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,more than 7,41 to 50,No,none,1 vehicle,Liability,No
Feb,2,Toyota,Urban,Feb,2,Male,Married,48,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,41 to 50,No,none,1 vehicle,All Perils,No
May,4,Honda,Urban,May,4,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,41 to 50,No,none,2 vehicles,Collision,No
Feb,2,Honda,Urban,Feb,2,Male,Married,49,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,41 to 50,No,none,1 vehicle,Liability,No
Feb,3,Chevrolet,Urban,Feb,5,Male,Married,49,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,none,1 vehicle,All Perils,No
Dec,3,Pontiac,Urban,Dec,3,Male,Married,49,Policy Holder,Utility - All Perils,Utility,"40,000 to 59,000",more than 30,more than 30,1,more than 7,41 to 50,No,none,1 vehicle,All Perils,No
Jul,2,Toyota,Urban,Jul,2,Male,Married,49,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,more than 7,41 to 50,No,none,1 vehicle,Liability,No
Mar,1,Toyota,Urban,Mar,2,Male,Married,49,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,more than 4,more than 7,41 to 50,No,none,1 vehicle,Liability,No
Oct,4,Chevrolet,Urban,Oct,4,Male,Single,49,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,41 to 50,Yes,more than 5,1 vehicle,Collision,No
Feb,4,Toyota,Urban,Feb,4,Male,Married,50,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,none,1 vehicle,Liability,No
Dec,2,Pontiac,Urban,Dec,3,Male,Married,50,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,none,2 vehicles,All Perils,No
Aug,4,Honda,Urban,Aug,5,Male,Married,50,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,more than 5,1 vehicle,Liability,No
Jan,2,Mazda,Urban,Jan,2,Male,Single,50,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,3 to 5,1 vehicle,Liability,No
Nov,3,Honda,Urban,Nov,3,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,none,1 vehicle,Collision,Yes
Sep,2,Mazda,Urban,Sep,2,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,1 to 2,1 vehicle,All Perils,Yes
Dec,1,Honda,Urban,Dec,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,41 to 50,No,none,1 vehicle,Collision,No
Feb,4,Mazda,Urban,Mar,2,Male,Married,50,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,none,1 vehicle,Liability,No
Mar,5,Ford,Urban,Apr,1,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,3 to 5,1 vehicle,All Perils,Yes
May,4,Pontiac,Urban,Jun,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,none,1 vehicle,Collision,No
Nov,3,Mazda,Urban,Nov,3,Male,Married,51,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,41 to 50,No,more than 5,1 vehicle,Liability,No
Jan,2,Toyota,Urban,Jan,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,3 to 5,1 vehicle,Collision,No
Mar,2,Pontiac,Urban,Mar,2,Male,Married,51,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,3 to 5,1 vehicle,Collision,No
Mar,2,Ford,Urban,May,2,Male,Married,51,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,more than 5,1 vehicle,Liability,No
Sep,4,Mazda,Rural,Feb,4,Male,Married,51,Policy Holder,Utility - All Perils,Utility,"more than 69,000",more than 30,more than 30,1,more than 7,41 to 50,No,none,1 vehicle,All Perils,No
Oct,3,Toyota,Urban,Nov,1,Male,Married,52,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,none,2 vehicles,Collision,No
Dec,5,Toyota,Urban,Jan,2,Male,Married,52,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,more than 5,1 vehicle,Liability,No
Jan,2,Pontiac,Urban,Jan,2,Male,Single,52,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,41 to 50,No,3 to 5,1 vehicle,All Perils,No
Dec,4,Pontiac,Urban,Dec,4,Male,Single,52,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,41 to 50,No,1 to 2,1 vehicle,Collision,No
Jan,3,Chevrolet,Urban,Jan,3,Male,Married,52,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,none,1 vehicle,Liability,No
Jan,1,Pontiac,Rural,Jan,2,Male,Married,52,Third Party,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,none,more than 7,41 to 50,No,none,1 vehicle,Collision,No
Jun,2,Chevrolet,Rural,Jun,4,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,41 to 50,No,more than 5,1 vehicle,Collision,No
Feb,3,Mazda,Urban,Mar,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,1 to 2,1 vehicle,Liability,No
May,4,Mazda,Urban,Jun,3,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,"40,000 to 59,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,No,none,1 vehicle,Collision,No
May,1,Toyota,Urban,May,1,Female,Married,52,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,41 to 50,No,1 to 2,1 vehicle,Liability,No
Oct,2,Pontiac,Urban,Oct,2,Male,Single,53,Policy Holder,Utility - All Perils,Utility,"more than 69,000",more than 30,more than 30,more than 4,more than 7,41 to 50,No,3 to 5,1 vehicle,All Perils,No
Aug,5,Pontiac,Urban,Aug,5,Male,Married,53,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,none,1 vehicle,Liability,No
May,4,Toyota,Urban,Jun,1,Male,Married,53,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,41 to 50,No,more than 5,1 vehicle,Liability,No
May,3,Honda,Rural,May,3,Male,Married,53,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,none,1 vehicle,Liability,No
Mar,1,Mazda,Urban,Mar,2,Female,Married,53,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,none,more than 7,41 to 50,No,3 to 5,1 vehicle,All Perils,No
Jun,3,Toyota,Urban,Jun,3,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,41 to 50,No,3 to 5,1 vehicle,Collision,No
Aug,2,Pontiac,Rural,Aug,3,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,41 to 50,Yes,3 to 5,2 vehicles,Collision,No
Jun,2,Saturn,Urban,Jun,3,Male,Married,54,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,41 to 50,No,none,1 vehicle,All Perils,No
Mar,3,VW,Rural,Mar,3,Male,Married,54,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",more than 30,more than 30,none,more than 7,41 to 50,No,more than 5,1 vehicle,Liability,No
Sep,2,Pontiac,Urban,Sep,2,Male,Married,54,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,none,1 vehicle,All Perils,No
Apr,2,VW,Urban,Apr,2,Female,Married,55,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,none,7 years,41 to 50,No,1 to 2,1 vehicle,All Perils,No
May,3,Pontiac,Urban,May,4,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,41 to 50,No,none,1 vehicle,All Perils,No
Sep,2,Honda,Urban,Oct,3,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,41 to 50,No,1 to 2,1 vehicle,Collision,No
